task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	d4/1ae046	29353	FASTP (5)	COMPLETED	0	2026-01-06 18:47:11.841	3.9s	3s	121.3%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
6	2e/145c46	29426	FASTP (6)	COMPLETED	0	2026-01-06 18:47:15.761	3.8s	4s	121.3%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
8	c9/18998a	29505	FASTP (8)	COMPLETED	0	2026-01-06 18:47:19.594	3.8s	4s	121.5%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
4	85/62f6d3	29586	FASTP (4)	COMPLETED	0	2026-01-06 18:47:23.377	3.8s	3s	122.0%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
1	a0/7bf37a	29667	FASTP (1)	COMPLETED	0	2026-01-06 18:47:27.185	3.7s	3s	121.4%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
7	73/0c217a	29742	FASTP (7)	COMPLETED	0	2026-01-06 18:47:30.939	3.8s	3s	121.2%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
2	24/02c795	29812	FASTP (2)	COMPLETED	0	2026-01-06 18:47:34.725	3.8s	4s	121.6%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
3	61/065221	29895	FASTP (3)	COMPLETED	0	2026-01-06 18:47:38.513	3.9s	4s	122.4%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
9	9b/2b8b32	29969	FASTQC (1)	COMPLETED	0	2026-01-06 18:47:42.374	3.6s	3.1s	94.8%	142.3 MB	3.1 GB	37.4 MB	1 MB
10	b1/b71e8c	30045	FASTQC (2)	COMPLETED	0	2026-01-06 18:47:46.008	3.6s	3.1s	105.8%	143.2 MB	3.1 GB	37.4 MB	1 MB
11	1b/6e6f06	30122	FASTQC (3)	COMPLETED	0	2026-01-06 18:47:49.648	3.6s	3.1s	109.7%	166.7 MB	3.1 GB	37.4 MB	1 MB
12	3f/c96eae	30195	FASTQC (4)	COMPLETED	0	2026-01-06 18:47:53.299	3.7s	3.1s	105.0%	162.8 MB	3.1 GB	37.4 MB	1 MB
13	7f/004d6f	30264	FASTQC (5)	COMPLETED	0	2026-01-06 18:47:56.966	3.6s	3.1s	96.1%	144.7 MB	3.1 GB	37.4 MB	1 MB
14	b1/9098dc	30337	FASTQC (6)	COMPLETED	0	2026-01-06 18:48:00.598	3.6s	3.1s	95.5%	142.7 MB	3.1 GB	37.4 MB	1 MB
15	d3/d751a2	30411	FASTQC (7)	COMPLETED	0	2026-01-06 18:48:04.224	3.6s	3.1s	105.4%	171.8 MB	3.1 GB	37.4 MB	1 MB
16	4f/4ff573	30483	FASTQC (8)	COMPLETED	0	2026-01-06 18:48:07.851	3.7s	3.1s	98.0%	145.5 MB	3.1 GB	37.4 MB	1 MB
17	10/d4e72d	30564	MULTIQC	COMPLETED	0	2026-01-06 18:48:11.539	2.5s	2s	147.1%	75.9 MB	3.2 GB	182.4 MB	8.2 MB
