task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	94/12e0b0	31055	FASTP (5)	COMPLETED	0	2026-01-06 18:48:37.118	5.6s	5s	134.2%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
3	6b/4b1623	31076	FASTP (3)	COMPLETED	0	2026-01-06 18:48:37.125	5.7s	5s	132.4%	1.3 GB	1.6 GB	56.6 MB	25.9 MB
8	80/030aa2	31093	FASTP (8)	COMPLETED	0	2026-01-06 18:48:37.131	5.8s	5s	133.6%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
2	ec/94b3f1	31034	FASTP (2)	COMPLETED	0	2026-01-06 18:48:37.108	6s	5s	133.4%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
1	62/d38e2e	31170	FASTP (1)	COMPLETED	0	2026-01-06 18:48:37.153	6.2s	5s	131.1%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
6	2c/e70638	31133	FASTP (6)	COMPLETED	0	2026-01-06 18:48:37.141	6.3s	5s	130.8%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
4	47/b13d9c	31205	FASTP (4)	COMPLETED	0	2026-01-06 18:48:37.162	6.3s	5s	130.5%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
7	11/defc51	31146	FASTP (7)	COMPLETED	0	2026-01-06 18:48:37.147	6.5s	5s	127.9%	1.3 GB	1.5 GB	56.6 MB	25.9 MB
15	82/d5e1b9	31617	FASTQC (7)	COMPLETED	0	2026-01-06 18:48:43.522	5.1s	4.2s	91.0%	148.7 MB	3.1 GB	37.4 MB	1 MB
10	49/269d97	31376	FASTQC (2)	COMPLETED	0	2026-01-06 18:48:42.862	6s	4.4s	106.6%	175 MB	3.1 GB	37.4 MB	1 MB
13	04/a61e3e	31533	FASTQC (5)	COMPLETED	0	2026-01-06 18:48:43.354	5.6s	4.3s	107.0%	175.6 MB	3.1 GB	37.4 MB	1 MB
14	6e/295d15	31576	FASTQC (6)	COMPLETED	0	2026-01-06 18:48:43.445	5.6s	4.2s	101.6%	166.5 MB	3.1 GB	37.4 MB	1 MB
11	b3/375d88	31437	FASTQC (3)	COMPLETED	0	2026-01-06 18:48:42.949	6.2s	4.4s	87.3%	142.1 MB	3.1 GB	37.4 MB	1 MB
9	63/76e841	31364	FASTQC (1)	COMPLETED	0	2026-01-06 18:48:42.849	6.4s	4.3s	95.4%	162.8 MB	3.1 GB	37.4 MB	1 MB
12	d9/ecf474	31489	FASTQC (4)	COMPLETED	0	2026-01-06 18:48:43.154	6.1s	4.3s	89.0%	143.4 MB	3.1 GB	37.4 MB	1 MB
16	f8/0a393f	31659	FASTQC (8)	COMPLETED	0	2026-01-06 18:48:43.614	5.7s	4.1s	107.9%	154.1 MB	3.1 GB	37.4 MB	1 MB
17	de/31b2bc	31864	MULTIQC	COMPLETED	0	2026-01-06 18:48:49.366	3.1s	2.5s	123.6%	93.9 MB	3.3 GB	182.4 MB	8.2 MB
